station,n_chargers,faults,replication,seed,mean_utilization,mean_wait,p_wait_gt_10min,p_wait_gt_15min,throughput_per_hour,n_sessions,fault_fraction,drain_cap_hit
Nanhu_Technology Park,10,on,37,79,0.1832000964261294,0.0,0.0,0.0,1.6236111111111111,1169,0.17621899059024806,False
Nanhu_Technology Park,10,on,38,80,0.18108486407307853,0.0007346537698006072,0.0,0.0,1.675,1206,0.16583747927031509,False
Nanhu_Technology Park,10,on,39,81,0.18980015848238527,0.0,0.0,0.0,1.725,1242,0.1529790660225443,False
Nanhu_Technology Park,10,on,40,82,0.18561382117896388,0.0,0.0,0.0,1.5708333333333333,1133,0.15710503089143865,False
Nanhu_Technology Park,10,on,41,83,0.17829341325153167,0.0,0.0,0.0,1.5430555555555556,1111,0.15841584158415842,False
Nanhu_Technology Park,10,on,42,84,0.17875269480246217,0.017954896776533738,0.0008333333333333334,0.0008333333333333334,1.6652777777777779,1200,0.16583333333333333,False
Nanhu_Technology Park,10,on,43,85,0.18229905074775926,0.0,0.0,0.0,1.6097222222222223,1160,0.16120689655172413,False
Nanhu_Technology Park,10,on,44,86,0.16200326956592861,0.0,0.0,0.0,1.5888888888888888,1144,0.14248251748251747,False
Nanhu_Technology Park,10,on,45,87,0.1744387119074932,0.0,0.0,0.0,1.5902777777777777,1145,0.16506550218340613,False
Nanhu_Technology Park,10,on,46,88,0.1818054664794444,0.0,0.0,0.0,1.6333333333333333,1176,0.17346938775510204,False
Nanhu_Technology Park,10,on,47,89,0.17861760087480175,0.006042998668289556,0.0,0.0,1.7027777777777777,1226,0.1533442088091354,False
Nanhu_Technology Park,10,on,48,90,0.1901721906703188,0.0,0.0,0.0,1.6055555555555556,1157,0.16421780466724287,False
Nanhu_Technology Park,10,on,49,91,0.19878726181397025,0.0,0.0,0.0,1.7833333333333334,1284,0.1440809968847352,False
Nanhu_Technology Park,12,on,0,42,0.14479093759505338,0.0,0.0,0.0,1.663888888888889,1198,0.14607679465776294,False
Nanhu_Technology Park,12,on,1,43,0.15748278162758433,0.0,0.0,0.0,1.6388888888888888,1182,0.15905245346869712,False
Nanhu_Technology Park,12,on,2,44,0.1511812706897652,0.0,0.0,0.0,1.6541666666666666,1191,0.16792611251049538,False
Nanhu_Technology Park,12,on,3,45,0.15480129627927544,0.0,0.0,0.0,1.7194444444444446,1239,0.1606133979015335,False
Nanhu_Technology Park,12,on,4,46,0.1543519917336215,0.0,0.0,0.0,1.6694444444444445,1203,0.17040731504571904,False
Nanhu_Technology Park,12,on,5,47,0.14964384473129866,0.0,0.0,0.0,1.65,1188,0.16582491582491582,False
