station,n_chargers,faults,mean_utilization_mean,mean_utilization_std,mean_utilization_ci95,mean_wait_mean,mean_wait_std,mean_wait_ci95,median_wait_mean,median_wait_std,median_wait_ci95,p95_wait_mean,p95_wait_std,p95_wait_ci95,p_wait_gt_10min_mean,p_wait_gt_10min_std,p_wait_gt_10min_ci95,p_wait_gt_15min_mean,p_wait_gt_15min_std,p_wait_gt_15min_ci95,throughput_per_hour_mean,throughput_per_hour_std,throughput_per_hour_ci95,n_sessions_mean,n_sessions_std,n_sessions_ci95,fault_fraction_mean,fault_fraction_std,fault_fraction_ci95,p_wait_gt_15min_upper95
Xiuzhou_Government Agency,22,off,0.09628110298578607,0.004689197365822918,0.0013129752624304169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Xiuzhou_Government Agency,24,off,0.08825767773697053,0.004298430918671022,0.001203560657227886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Xiuzhou_Government Agency,26,off,0.08146862560335746,0.003967782386465578,0.0011109790682103616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Xiuzhou_Government Agency,28,off,0.07564943806026048,0.0036843693588609,0.0010316234204810518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Xiuzhou_Government Agency,30,off,0.07060614218957646,0.0034387447349367973,0.0009628485257823032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079138888888889,0.04994556450356977,0.013984758060999535,1496.98,35.960806442570224,10.06902580391966,0.0,0.0,0.0,0.0
Tongxiang_Bus Station,2,off,1.0,1.095807560279682e-15,3.0682611687831095e-16,17018.137936002124,1145.7621944862562,320.8134144561517,17093.039452568693,1341.6933568497213,375.674139917922,24682.103762411592,1212.9526160223904,339.62673248626925,1.0,0.0,0.0,1.0,0.0,0.0,1.5655277777777774,0.09174310365308791,0.025688069022864617,1127.18,66.0550346302233,18.495409696462524,0.0,0.0,0.0,1.0
Tongxiang_Bus Station,4,off,0.9268082644729401,0.03453823089136251,0.009670704649581502,359.936339932048,221.56276851213823,62.037575183398694,309.997657189366,226.638178259944,63.458689912784315,863.5185434655854,363.3895251188058,101.74906703326562,0.8907573587704027,0.052378203583052285,0.014665897003254639,0.880246707532681,0.05726212888563372,0.016033396087977443,3.455083333333334,0.07327260216748864,0.02051632860689682,2487.66,52.75627356059182,14.77175659696571,0.0,0.0,0.0,0.8962801036206585
Tongxiang_Bus Station,6,off,0.6188934905691299,0.025059894580931063,0.007016770482660697,25.041079043493028,6.74590983624323,1.8888547541481047,0.3503849062428344,1.3188400844579866,0.3692752236482362,132.9662424702214,34.174072491335096,9.568740297573827,0.352009151130888,0.04694163034438661,0.01314365649642825,0.31736087703703936,0.047322323448834615,0.01325025056567369,3.455083333333334,0.07327260216748864,0.02051632860689682,2487.66,52.75627356059182,14.77175659696571,0.0,0.0,0.0,0.33061112760271305
Tongxiang_Bus Station,8,off,0.46431826324395,0.018946174287235107,0.00530492880042583,3.2995134422610586,1.38910336576169,0.3889489424132732,0.0,0.0,0.0,22.718994143290814,8.00454325299076,2.241272110837413,0.08737310220434047,0.022890125586499967,0.006409235164219991,0.06955763528411439,0.02060552196203831,0.005769546149370725,3.455083333333334,0.07327260216748864,0.02051632860689682,2487.66,52.75627356059182,14.77175659696571,0.0,0.0,0.0,0.07532718143348512
Tongxiang_Bus Station,10,off,0.37147931181051436,0.015186064859910265,0.004252098160774874,0.42708781390251394,0.2769701044856088,0.07755162925597046,0.0,0.0,0.0,0.2129136955697396,0.6922746183146914,0.19383689312811359,0.014703139730524936,0.007807578058546678,0.00218612185639307,0.00989225036614647,0.006578294283686792,0.0018419223994323016,3.455083333333334,0.07327260216748864,0.02051632860689682,2487.66,52.75627356059182,14.77175659696571,0.0,0.0,0.0,0.011734172765578772
