station,fault_rate,n_chargers,mean_utilization,p_wait_gt_15min,mean_wait
Xiuzhou_Government Agency,0.3,4,0.6823638409340136,0.5215422802124603,62.5838738074107
Xiuzhou_Government Agency,0.3,6,0.4546755331530482,0.11826142353434689,6.348357144459856
Xiuzhou_Government Agency,0.3,8,0.34105058756542617,0.014592209767820523,0.6523824726831918
Xiuzhou_Government Agency,0.3,10,0.27284335684048183,0.0013901384091184932,0.06356511013647391
Xiuzhou_Government Agency,0.3,12,0.2273695641830593,9.195207352239831e-05,0.006005696680827828
Xiuzhou_Government Agency,0.3,14,0.19488819787119369,1.3183915622940012e-05,0.0006296323750917703
Xiuzhou_Government Agency,0.3,16,0.1705271731372945,0.0,0.0
Xiuzhou_Government Agency,0.3,18,0.15157970945537294,0.0,0.0
Xiuzhou_Government Agency,0.3,20,0.1364217385098356,0.0,0.0
Xiuzhou_Government Agency,0.3,22,0.12401976228166876,0.0,0.0
Xiuzhou_Government Agency,0.3,24,0.11368478209152964,0.0,0.0
Xiuzhou_Government Agency,0.3,26,0.1049397988537197,0.0,0.0
Xiuzhou_Government Agency,0.3,28,0.09744409893559684,0.0,0.0
Xiuzhou_Government Agency,0.3,30,0.09094782567322378,0.0,0.0
