station,n_chargers,activation_mode,faults,replication,mean_utilization,mean_utilization_static,mean_wait,p_wait_gt_15min,active_charger_hours,scheduled_charger_hours,n_sessions,fault_fraction,throughput_per_hour,drain_cap_hit
Xiuzhou_Expressway Service District A,4,full,ON,34,0.2508006468584232,0.2508006468584232,1.1660352048634157,0.03273322422258593,2880.0,2880.0,611,0.176759410801964,0.8472222222222222,False
Xiuzhou_Expressway Service District A,4,full,ON,35,0.2424621871197886,0.2424621871197886,0.8290734454138851,0.02152317880794702,2880.0,2880.0,604,0.18543046357615894,0.8388888888888889,False
Xiuzhou_Expressway Service District A,4,full,ON,36,0.24490705186793388,0.24490705186793388,1.4228331090263688,0.03865546218487395,2880.0,2880.0,595,0.14285714285714285,0.8263888888888888,False
Xiuzhou_Expressway Service District A,4,full,ON,37,0.2373425105005343,0.2373425105005343,1.6012345645591421,0.03220338983050847,2880.0,2880.0,590,0.18135593220338983,0.8180555555555555,False
Xiuzhou_Expressway Service District A,4,full,ON,38,0.24219758335345962,0.24219758335345962,0.5345862877388139,0.01155115511551155,2880.0,2880.0,606,0.19636963696369636,0.8416666666666667,False
Xiuzhou_Expressway Service District A,4,full,ON,39,0.24878381236316655,0.24878381236316655,2.3885103038617816,0.03387096774193549,2880.0,2880.0,620,0.1435483870967742,0.8597222222222223,False
Xiuzhou_Expressway Service District A,4,full,ON,40,0.22703777208558343,0.22703777208558343,0.9113620498200041,0.02003338898163606,2880.0,2880.0,599,0.16026711185308848,0.8319444444444445,False
Xiuzhou_Expressway Service District A,4,full,ON,41,0.24889062463344724,0.24889062463344724,0.7196267572972405,0.023333333333333334,2880.0,2880.0,600,0.17333333333333334,0.8333333333333334,False
Xiuzhou_Expressway Service District A,4,full,ON,42,0.24332571212949308,0.24332571212949308,3.1744388556155676,0.0529595015576324,2880.0,2880.0,642,0.16978193146417445,0.8916666666666667,False
Xiuzhou_Expressway Service District A,4,full,ON,43,0.23512045469486148,0.23512045469486148,0.873970545206158,0.0297029702970297,2880.0,2880.0,606,0.19636963696369636,0.8416666666666667,False
Xiuzhou_Expressway Service District A,4,full,ON,44,0.2407784370338713,0.2407784370338713,1.3034024877924646,0.035541195476575124,2880.0,2880.0,619,0.1777059773828756,0.8597222222222223,False
Xiuzhou_Expressway Service District A,4,full,ON,45,0.2153714805075982,0.2153714805075982,0.32107805330030503,0.008880994671403197,2880.0,2880.0,563,0.1669626998223801,0.7819444444444444,False
Xiuzhou_Expressway Service District A,4,full,ON,46,0.23139157763202353,0.23139157763202353,1.5130444425607597,0.032520325203252036,2880.0,2880.0,615,0.17560975609756097,0.8541666666666666,False
Xiuzhou_Expressway Service District A,4,full,ON,47,0.2592755483168742,0.2592755483168742,2.247481142968987,0.05339805825242718,2880.0,2880.0,618,0.1796116504854369,0.8583333333333333,False
Xiuzhou_Expressway Service District A,4,full,ON,48,0.27487472433113563,0.27487472433113563,2.2713069482401402,0.04455445544554455,2880.0,2880.0,606,0.16006600660066006,0.8402777777777778,False
Xiuzhou_Expressway Service District A,4,full,ON,49,0.2349115835433647,0.2349115835433647,1.717731087413755,0.04186046511627907,2880.0,2880.0,645,0.15348837209302327,0.8958333333333334,False
Xiuzhou_Expressway Service District A,6,full,ON,0,0.1645229781013871,0.1645229781013871,0.0,0.0,4319.999999999999,4320.0,624,0.16025641025641027,0.8666666666666667,False
Xiuzhou_Expressway Service District A,6,full,ON,1,0.1677923247771934,0.16779232477719316,0.05881455757738888,0.0,4319.9999999999945,4320.0,638,0.1677115987460815,0.8861111111111111,False
Xiuzhou_Expressway Service District A,6,full,ON,2,0.1596254167163756,0.15962541671637542,0.05455715101138916,0.0016835016835016834,4319.999999999995,4320.0,594,0.18518518518518517,0.825,False
Xiuzhou_Expressway Service District A,6,full,ON,3,0.16883315354932676,0.16883315354932651,0.18526163363400514,0.0031545741324921135,4319.999999999994,4320.0,634,0.15772870662460567,0.8805555555555555,False
Xiuzhou_Expressway Service District A,6,full,ON,4,0.17637104378389215,0.176371043783892,0.1598293881505621,0.0031746031746031746,4319.999999999996,4320.0,630,0.20476190476190476,0.8736111111111111,False
Xiuzhou_Expressway Service District A,6,full,ON,5,0.15588352079406267,0.15588352079406284,0.0,0.0,4320.000000000005,4320.0,615,0.16097560975609757,0.8541666666666666,False
