station,sizing_scenario,dominant_type,peak_lambda_per_hour,mu_per_min,cv,cv_source,service_param_scope,station_mix_json,mix_coverage,rho_total,s,p_wait_zero_mms,p_wait_mms,p_wait_mgs,mean_wait_mms_min,mean_wait_mgs_min,probability_metric
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,28,4.423364348956822e-24,7.272330105098125e-27,6.821788996996017e-26,1.0350151553069254e-23,1.5903949251306782e-23,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,29,2.676390425268306e-25,3.446473373904073e-28,3.520862524062816e-27,6.032550510752739e-25,9.269562545729653e-25,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,30,1.565639910472933e-26,1.5791447218123227e-29,1.7568938210363412e-28,3.4039762020188507e-26,5.230519040420236e-26,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,31,8.864533931612501e-28,7.003103510013788e-31,8.48522904811956e-30,1.8613949629855007e-27,2.86020266236399e-27,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,32,4.8628145076888146e-29,3.009032869343687e-32,3.970538381062574e-31,9.873395643682975e-29,1.5171370433570386e-28,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,33,2.5870591363583242e-30,1.2538632498527778e-33,1.8018643067555044e-32,5.0845970564090346e-30,7.812945842758526e-30,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,34,1.3359993322716895e-31,5.071712746524424e-35,7.937358547960947e-34,2.544327251769798e-31,3.909590239658297e-31,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,35,6.702844459419515e-33,1.9930222066793082e-36,3.396901320118495e-35,1.2381133485996392e-32,1.9024737717637563e-32,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,36,3.2697618751804535e-34,7.615066691181257e-38,1.4134939252603473e-36,5.863340784460737e-34,9.00955641094243e-34,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,37,1.5520625608226873e-35,2.8312055282810827e-39,5.723228362117922e-38,2.7041859369047654e-35,4.1552276491910326e-35,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,38,7.17386047604028e-37,1.0249901453362045e-40,2.2565180376377145e-39,1.2154256520772347e-36,1.8676120625152216e-36,p_wait_gt_15min
Xiuzhou_Expressway Service District A,historical_avg,DC_Fast,1.7185792349726776,0.016286247403244938,1.4398548220048186,station_type_mixture,station_mixture_from_global_type_fits,"{""DC_Fast"": 0.4401990049751244, ""Level_2"": 0.40749585406301825, ""Mixed"": 0.15230514096185738}",1.0,1.758722346550973,39,3.2310638393604644e-38,3.615904004896017e-42,8.669328386188032e-41,5.327211494316007e-38,8.185744993410827e-38,p_wait_gt_15min
