station,hour,lambda_mean,lambda_std,lambda_ci_low,lambda_ci_high,n_days
Tongxiang_Bus Station,6,0.9603825136612022,1.1949798622851338,0.8796448087431694,1.0423497267759563,732
Tongxiang_Bus Station,7,1.1680327868852458,1.3388501749595483,1.080532786885246,1.2568306010928962,732
Tongxiang_Bus Station,8,1.5601092896174864,1.7167219706652408,1.4343579234972679,1.663353825136612,732
Tongxiang_Bus Station,9,3.349726775956284,2.750567643281477,3.167315573770492,3.539617486338798,732
Tongxiang_Bus Station,10,4.78551912568306,3.630190797941049,4.529986338797814,5.025512295081967,732
Tongxiang_Bus Station,11,5.4316939890710385,3.609454203002901,5.170628415300547,5.699658469945355,732
Tongxiang_Bus Station,12,5.3183060109289615,3.5303713913234644,5.045081967213115,5.575853825136612,732
Tongxiang_Bus Station,13,5.23087431693989,3.655474361143242,4.994193989071038,5.500068306010929,732
Tongxiang_Bus Station,14,5.26912568306011,3.6265441525422117,4.9964822404371585,5.529405737704918,732
Tongxiang_Bus Station,15,5.577868852459017,3.4760390440242714,5.316154371584699,5.81974043715847,732
Tongxiang_Bus Station,16,4.94672131147541,3.292598782991312,4.726946721311475,5.189788251366119,732
Tongxiang_Bus Station,17,3.83879781420765,2.8073038757356232,3.6527322404371585,4.028756830601093,732
Tongxiang_Bus Station,18,4.719945355191257,3.2289704342730228,4.504986338797814,4.971311475409836,732
Tongxiang_Bus Station,19,5.423497267759563,3.4670060740701887,5.171345628415301,5.677937158469945,732
Tongxiang_Bus Station,20,4.75,3.124250936216344,4.540198087431694,4.967281420765027,732
Tongxiang_Bus Station,21,5.109289617486339,3.2504354818417367,4.867486338797814,5.373087431693989,732
Tongxiang_Bus Station,22,4.784153005464481,3.14925048622432,4.5592554644808745,4.981079234972677,732
Tongxiang_Bus Station,23,3.7759562841530054,2.645300618708465,3.6023907103825135,3.9570013661202186,732
Tongxiang_Industrial Park,0,0.4494535519125683,0.7481210219630903,0.3912909836065574,0.5027322404371585,732
Tongxiang_Industrial Park,1,0.2527322404371585,0.5780344726738632,0.2062841530054645,0.29170081967213113,732
Tongxiang_Industrial Park,2,0.17349726775956284,0.47791992156522745,0.13992486338797813,0.2084357923497267,732
Tongxiang_Industrial Park,3,0.1885245901639344,0.5177870498023877,0.15228825136612023,0.226775956284153,732
Tongxiang_Industrial Park,4,0.15027322404371585,0.46117370241204264,0.11885245901639344,0.18241120218579232,732
Tongxiang_Industrial Park,5,0.14344262295081966,0.5384510954605688,0.1092896174863388,0.1851434426229508,732
Tongxiang_Industrial Park,6,0.5396174863387978,0.9013222487144089,0.4781420765027322,0.6079918032786885,732
Tongxiang_Industrial Park,7,1.023224043715847,1.2033953283758474,0.9293374316939891,1.101434426229508,732
Tongxiang_Industrial Park,8,1.273224043715847,1.2840999611936998,1.1768101092896175,1.3689207650273223,732
Tongxiang_Industrial Park,9,1.1270491803278688,1.2925041317328634,1.0409153005464482,1.2226775956284153,732
Tongxiang_Industrial Park,10,1.0122950819672132,1.3175077746779822,0.9207650273224044,1.1135928961748631,732
Tongxiang_Industrial Park,11,1.280054644808743,1.5328544217467,1.1827185792349726,1.3914959016393442,732
Tongxiang_Industrial Park,12,1.650273224043716,1.71676769159821,1.5203551912568307,1.767896174863388,732
Tongxiang_Industrial Park,13,1.7377049180327868,1.710848680311957,1.6304303278688526,1.836782786885246,732
Tongxiang_Industrial Park,14,1.7486338797814207,1.9366677891911497,1.592042349726776,1.9098360655737705,732
Tongxiang_Industrial Park,15,1.6174863387978142,1.7971310830799394,1.492896174863388,1.7520833333333332,732
Tongxiang_Industrial Park,16,1.4494535519125684,1.8971970762494963,1.3360655737704918,1.5718237704918032,732
Tongxiang_Industrial Park,17,1.3346994535519126,2.171510167486278,1.1994535519125684,1.4901297814207648,732
Tongxiang_Industrial Park,18,1.5136612021857923,2.1865348996243257,1.3783469945355191,1.6928961748633877,732
Tongxiang_Industrial Park,19,1.7650273224043715,1.7682349548670317,1.609870218579235,1.8818647540983606,732
Tongxiang_Industrial Park,20,1.6325136612021858,1.7707712676023568,1.511577868852459,1.760997267759563,732
Tongxiang_Industrial Park,21,1.2814207650273224,1.6524356364775357,1.1653005464480874,1.4181010928961748,732
Tongxiang_Industrial Park,22,1.0273224043715847,1.2905282388662835,0.9494535519125683,1.1215846994535519,732
Tongxiang_Industrial Park,23,0.7240437158469946,1.0184728989845175,0.6543715846994536,0.7950819672131147,732
Tongxiang_Park A,0,0.4808743169398907,1.0120560808858103,0.4050204918032787,0.5547131147540983,732
Tongxiang_Park A,1,0.2937158469945355,0.66969896752818,0.24583333333333332,0.34562841530054644,732
Tongxiang_Park A,2,0.23633879781420766,0.6576014410240115,0.19262295081967212,0.279405737704918,732
Tongxiang_Park A,3,0.27595628415300544,0.657750623850126,0.2287909836065574,0.32448770491803275,732
Tongxiang_Park A,4,0.20081967213114754,0.5504375926122488,0.16458333333333333,0.24043715846994534,732
Tongxiang_Park A,5,0.2336065573770492,0.7516996506763742,0.17961065573770493,0.28487021857923495,732
Tongxiang_Park A,6,0.33879781420765026,0.7507207135199735,0.28954918032786886,0.3948770491803278,732
Tongxiang_Park A,7,0.523224043715847,0.9491916002166227,0.45491803278688525,0.592964480874317,732
Tongxiang_Park A,8,0.73224043715847,1.1421049552053422,0.6446721311475411,0.8156420765027322,732
Tongxiang_Park A,9,1.2814207650273224,1.7876408508899897,1.15625,1.4023565573770491,732
Tongxiang_Park A,10,2.137978142076503,2.7432454561888027,1.9514002732240439,2.351092896174863,732
Tongxiang_Park A,11,2.6885245901639343,2.9803238943320185,2.4909494535519126,2.894159836065574,732
Tongxiang_Park A,12,3.046448087431694,2.94045344061522,2.872882513661202,3.2674521857923495,732
Tongxiang_Park A,13,3.307377049180328,3.245925608512593,3.0872267759562844,3.571755464480874,732
Tongxiang_Park A,14,3.351092896174863,3.383141823622775,3.0872267759562844,3.612943989071038,732
Tongxiang_Park A,15,3.2295081967213113,2.997363780838029,3.039617486338798,3.437226775956284,732
Tongxiang_Park A,16,3.01775956284153,3.054177719112316,2.7929986338797814,3.2447404371584696,732
Tongxiang_Park A,17,2.42896174863388,2.479824474981124,2.2339139344262295,2.605327868852459,732
Tongxiang_Park A,18,2.5341530054644807,2.6001542032729654,2.3732581967213116,2.7351092896174864,732
Tongxiang_Park A,19,2.3169398907103824,2.4283071699931633,2.1426571038251363,2.4761270491803278,732
Tongxiang_Park A,20,1.7349726775956285,1.9809574642865648,1.5954918032786887,1.8771857923497268,732
Tongxiang_Park A,21,1.424863387978142,1.783365716325524,1.2751707650273225,1.564275956284153,732
Tongxiang_Park A,22,1.3852459016393444,1.8431522453035685,1.2656762295081967,1.5150273224043715,732
