station,quarter,hour,lambda_mean,n_days
Nanhu_Financial Industrial Park,2020Q4,13,4.054347826086956,92
Nanhu_Financial Industrial Park,2020Q4,14,3.75,92
Nanhu_Financial Industrial Park,2020Q4,15,3.7717391304347827,92
Nanhu_Financial Industrial Park,2020Q4,16,3.032608695652174,92
Nanhu_Financial Industrial Park,2020Q4,17,1.5978260869565217,92
Nanhu_Financial Industrial Park,2020Q4,18,1.0869565217391304,92
Nanhu_Financial Industrial Park,2020Q4,19,1.7934782608695652,92
Nanhu_Financial Industrial Park,2020Q4,20,1.3369565217391304,92
Nanhu_Financial Industrial Park,2020Q4,21,1.5,92
Nanhu_Financial Industrial Park,2020Q4,22,1.608695652173913,92
Nanhu_Financial Industrial Park,2020Q4,23,1.1630434782608696,92
Nanhu_Financial Industrial Park,2021Q1,0,0.011111111111111112,90
Nanhu_Financial Industrial Park,2021Q1,1,0.0,90
Nanhu_Financial Industrial Park,2021Q1,2,0.0,90
Nanhu_Financial Industrial Park,2021Q1,3,0.011111111111111112,90
Nanhu_Financial Industrial Park,2021Q1,4,0.0,90
Nanhu_Financial Industrial Park,2021Q1,5,0.0,90
Nanhu_Financial Industrial Park,2021Q1,6,0.011111111111111112,90
Nanhu_Financial Industrial Park,2021Q1,7,0.044444444444444446,90
Nanhu_Financial Industrial Park,2021Q1,8,0.15555555555555556,90
Nanhu_Financial Industrial Park,2021Q1,9,1.1666666666666667,90
Nanhu_Financial Industrial Park,2021Q1,10,1.1111111111111112,90
Nanhu_Financial Industrial Park,2021Q1,11,1.8444444444444446,90
